manifest_row_position,target_value,split_set,dataset_name
202,1.0,train,UCI
203,0.0,train,UCI
204,0.0,train,UCI
205,0.0,train,UCI
206,1.0,train,UCI
207,1.0,train,UCI
208,1.0,train,UCI
209,1.0,train,UCI
210,1.0,train,UCI
211,1.0,train,UCI
212,1.0,train,UCI
213,1.0,train,UCI
214,1.0,train,UCI
215,1.0,train,UCI
216,1.0,train,UCI
217,0.0,train,UCI
218,1.0,train,UCI
219,1.0,train,UCI
220,1.0,train,UCI
221,0.0,train,UCI
222,0.0,train,UCI
223,0.0,train,UCI
224,0.0,train,UCI
225,0.0,train,UCI
226,1.0,train,UCI
227,1.0,train,UCI
228,1.0,train,UCI
229,1.0,train,UCI
230,1.0,train,UCI
231,1.0,train,UCI
232,1.0,train,UCI
233,1.0,train,UCI
234,0.0,train,UCI
235,1.0,train,UCI
236,1.0,train,UCI
237,0.0,train,UCI
238,0.0,train,UCI
239,1.0,train,UCI
240,1.0,train,UCI
241,0.0,train,UCI
242,0.0,train,UCI
243,0.0,train,UCI
244,0.0,train,UCI
245,1.0,train,UCI
246,1.0,train,UCI
247,1.0,train,UCI
248,1.0,train,UCI
249,1.0,train,UCI
250,1.0,train,UCI
251,1.0,train,UCI
252,1.0,train,UCI
253,1.0,train,UCI
254,0.0,train,UCI
255,1.0,train,UCI
256,1.0,train,UCI
257,1.0,train,UCI
258,1.0,train,UCI
259,1.0,train,UCI
260,0.0,train,UCI
261,1.0,train,UCI
262,1.0,train,UCI
263,0.0,train,UCI
264,1.0,train,UCI
265,0.0,train,UCI
266,1.0,train,UCI
267,1.0,train,UCI
268,1.0,train,UCI
269,0.0,train,UCI
270,0.0,train,UCI
271,0.0,train,UCI
272,1.0,train,UCI
273,0.0,train,UCI
274,1.0,train,UCI
275,0.0,train,UCI
276,1.0,train,UCI
277,1.0,train,UCI
278,1.0,train,UCI
279,1.0,train,UCI
280,1.0,train,UCI
281,0.0,train,UCI
282,1.0,train,UCI
283,1.0,train,UCI
284,1.0,train,UCI
285,1.0,train,UCI
286,0.0,train,UCI
287,1.0,train,UCI
288,1.0,train,UCI
289,1.0,train,UCI
290,0.0,train,UCI
291,1.0,train,UCI
292,1.0,train,UCI
293,1.0,train,UCI
294,0.0,train,UCI
295,1.0,train,UCI
296,1.0,train,UCI
297,0.0,train,UCI
298,0.0,train,UCI
299,0.0,train,UCI
300,0.0,train,UCI
301,0.0,train,UCI
302,1.0,train,UCI
303,0.0,train,UCI
304,0.0,train,UCI
305,1.0,train,UCI
306,1.0,train,UCI
307,1.0,train,UCI
308,1.0,train,UCI
309,0.0,train,UCI
310,1.0,train,UCI
311,1.0,train,UCI
312,1.0,train,UCI
313,0.0,train,UCI
314,1.0,train,UCI
315,1.0,train,UCI
316,0.0,train,UCI
317,1.0,train,UCI
318,1.0,train,UCI
319,0.0,train,UCI
